{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         1.91%      48.000us         1.91%      48.000us      48.000us      72.000us         2.92%      72.000us      72.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         2.74%      69.000us        15.05%     379.000us     379.000us      69.000us         2.79%     370.000us     370.000us      -1.27 Mb      -1.27 Mb           0 b           0 b             1  
                                        aten::ones_like         4.37%     110.000us        10.80%     272.000us     272.000us      55.000us         2.23%     140.000us     140.000us           0 b           0 b       2.54 Mb           0 b             1  
                             UpsampleNearest2DBackward1         1.15%      29.000us         5.60%     141.000us     141.000us      42.000us         1.70%     146.000us     146.000us           0 b           0 b     650.00 Kb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.07%      27.000us         1.59%      40.000us      40.000us      26.000us         1.05%      33.000us      33.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         1.71%      43.000us         7.31%     184.000us     184.000us      24.000us         0.97%     170.000us     170.000us           0 b           0 b     650.00 Kb           0 b             1  
                                       aten::empty_like         2.82%      71.000us         4.53%     114.000us     114.000us      12.000us         0.49%      13.000us      13.000us           0 b           0 b       2.54 Mb           0 b             1  
                                         CloneBackward0         0.52%      13.000us         0.52%      13.000us      13.000us       7.000us         0.28%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -5.08 Mb      -5.08 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.518ms
Self CUDA time total: 2.469ms

{'item_0': [2.0, 150.0, 32.0, 32.0], 'item_1': [512.0, 512.0], 'item_2': [False], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.1807231903076172'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::upsample_bilinear2d_backward         0.08%     146.000us         0.13%     238.000us     238.000us     162.699ms        90.49%     162.725ms     162.725ms           0 b           0 b       1.25 Mb       1.25 Mb             1  
                              aten::upsample_bilinear2d         0.15%     278.000us         0.15%     278.000us     278.000us       9.590ms         5.33%       9.590ms       9.590ms           0 b           0 b     300.00 Mb     300.00 Mb             1  
                                            aten::fill_         0.05%      97.000us         0.05%      97.000us      48.500us       4.569ms         2.54%       4.569ms       2.284ms           0 b           0 b           0 b           0 b             2  
